,Links
0,https://vlr.gg/314345/team-secret-vs-global-esports-champions-tour-2024-pacific-stage-2-w1
1,https://vlr.gg/314344/rex-regum-qeon-vs-detonation-focusme-champions-tour-2024-pacific-stage-2-w1
2,https://vlr.gg/314343/paper-rex-vs-talon-esports-champions-tour-2024-pacific-stage-2-w1
3,https://vlr.gg/359605/bilibili-gaming-vs-wolves-esports-champions-tour-2024-china-stage-2-w1
4,https://vlr.gg/359604/all-gamers-vs-tyloo-champions-tour-2024-china-stage-2-w1
5,https://vlr.gg/314342/t1-vs-gen-g-champions-tour-2024-pacific-stage-2-w1
6,https://vlr.gg/359603/titan-esports-club-vs-jd-gaming-champions-tour-2024-china-stage-2-w1
7,https://vlr.gg/314341/team-secret-vs-bleed-champions-tour-2024-pacific-stage-2-w1
8,https://vlr.gg/314340/zeta-division-vs-drx-champions-tour-2024-pacific-stage-2-w1
9,https://vlr.gg/348476/gen-g-vs-team-heretics-champions-tour-2024-masters-shanghai-gf
10,https://vlr.gg/359463/team-international-vs-team-china-champions-tour-2024-masters-shanghai-showmatch
11,https://vlr.gg/348475/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-lf
12,https://vlr.gg/348474/100-thieves-vs-team-heretics-champions-tour-2024-masters-shanghai-lr3
13,https://vlr.gg/348473/g2-esports-vs-gen-g-champions-tour-2024-masters-shanghai-ubf
14,https://vlr.gg/348472/team-heretics-vs-fut-esports-champions-tour-2024-masters-shanghai-lr2
15,https://vlr.gg/348471/100-thieves-vs-paper-rex-champions-tour-2024-masters-shanghai-lr2
16,https://vlr.gg/348469/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-ubsf
17,https://vlr.gg/348470/100-thieves-vs-gen-g-champions-tour-2024-masters-shanghai-ubsf
18,https://vlr.gg/348467/paper-rex-vs-edward-gaming-champions-tour-2024-masters-shanghai-lr1
19,https://vlr.gg/348468/fut-esports-vs-fnatic-champions-tour-2024-masters-shanghai-lr1
20,https://vlr.gg/348464/edward-gaming-vs-team-heretics-champions-tour-2024-masters-shanghai-ubqf
21,https://vlr.gg/348463/paper-rex-vs-g2-esports-champions-tour-2024-masters-shanghai-ubqf
22,https://vlr.gg/348466/fnatic-vs-gen-g-champions-tour-2024-masters-shanghai-ubqf
23,https://vlr.gg/348465/100-thieves-vs-fut-esports-champions-tour-2024-masters-shanghai-ubqf
24,https://vlr.gg/348461/fut-esports-vs-leviat-n-champions-tour-2024-masters-shanghai-r3
25,https://vlr.gg/348462/funplus-phoenix-vs-team-heretics-champions-tour-2024-masters-shanghai-r3
26,https://vlr.gg/348460/dragon-ranger-gaming-vs-fut-esports-champions-tour-2024-masters-shanghai-r2
27,https://vlr.gg/348459/leviat-n-vs-t1-champions-tour-2024-masters-shanghai-r2
28,https://vlr.gg/348457/g2-esports-vs-team-heretics-champions-tour-2024-masters-shanghai-r2
29,https://vlr.gg/348458/funplus-phoenix-vs-gen-g-champions-tour-2024-masters-shanghai-r2
30,https://vlr.gg/348059/team-heretics-vs-dragon-ranger-gaming-champions-tour-2024-masters-shanghai-r1
31,https://vlr.gg/348064/gen-g-vs-leviat-n-champions-tour-2024-masters-shanghai-r1
32,https://vlr.gg/348061/funplus-phoenix-vs-fut-esports-champions-tour-2024-masters-shanghai-r1
33,https://vlr.gg/348063/g2-esports-vs-t1-champions-tour-2024-masters-shanghai-r1
34,https://vlr.gg/337412/100-thieves-vs-g2-esports-champions-tour-2024-americas-stage-1-gf
35,https://vlr.gg/341821/team-heretics-vs-fnatic-champions-tour-2024-emea-stage-1-gf
36,https://vlr.gg/342363/funplus-phoenix-vs-edward-gaming-champions-tour-2024-china-stage-1-gf
37,https://vlr.gg/329914/paper-rex-vs-gen-g-champions-tour-2024-pacific-stage-1-gf
38,https://vlr.gg/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf
39,https://vlr.gg/341823/fnatic-vs-fut-esports-champions-tour-2024-emea-stage-1-lbf
40,https://vlr.gg/342362/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-1-lf
41,https://vlr.gg/329913/t1-vs-gen-g-champions-tour-2024-pacific-stage-1-lf
42,https://vlr.gg/337413/kr-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lr1
43,https://vlr.gg/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf
44,https://vlr.gg/341822/karmine-corp-vs-fut-esports-champions-tour-2024-emea-stage-1-lr1
45,https://vlr.gg/341820/fnatic-vs-team-heretics-champions-tour-2024-emea-stage-1-ubf
46,https://vlr.gg/342361/trace-esports-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-1-lr1
47,https://vlr.gg/342360/funplus-phoenix-vs-edward-gaming-champions-tour-2024-china-stage-1-ubf
48,https://vlr.gg/337410/leviat-n-vs-100-thieves-champions-tour-2024-americas-stage-1-ubsf
49,https://vlr.gg/337409/kr-esports-vs-g2-esports-champions-tour-2024-americas-stage-1-ubsf
50,https://vlr.gg/341819/fut-esports-vs-team-heretics-champions-tour-2024-emea-stage-1-ubsf
51,https://vlr.gg/341818/karmine-corp-vs-fnatic-champions-tour-2024-emea-stage-1-ubsf
52,https://vlr.gg/342359/edward-gaming-vs-dragon-ranger-gaming-champions-tour-2024-china-stage-1-ubsf
53,https://vlr.gg/342358/funplus-phoenix-vs-trace-esports-champions-tour-2024-china-stage-1-ubsf
54,https://vlr.gg/337408/100-thieves-vs-loud-champions-tour-2024-americas-stage-1-ko
55,https://vlr.gg/337407/cloud9-vs-g2-esports-champions-tour-2024-americas-stage-1-ko
56,https://vlr.gg/341817/natus-vincere-vs-team-heretics-champions-tour-2024-emea-stage-1-knockout
57,https://vlr.gg/341816/fnatic-vs-team-liquid-champions-tour-2024-emea-stage-1-knockout
58,https://vlr.gg/342357/dragon-ranger-gaming-vs-nova-esports-champions-tour-2024-china-stage-1-ko
59,https://vlr.gg/342356/trace-esports-vs-all-gamers-champions-tour-2024-china-stage-1-ko
60,https://vlr.gg/314654/g2-esports-vs-loud-champions-tour-2024-americas-stage-1-w5
61,https://vlr.gg/314653/cloud9-vs-mibr-champions-tour-2024-americas-stage-1-w5
62,https://vlr.gg/319794/trace-esports-vs-edward-gaming-champions-tour-2024-china-stage-1-w5
63,https://vlr.gg/329911/gen-g-vs-drx-champions-tour-2024-pacific-stage-1-lr1
64,https://vlr.gg/319793/nova-esports-vs-titan-esports-club-champions-tour-2024-china-stage-1-w5
65,https://vlr.gg/329912/t1-vs-paper-rex-champions-tour-2024-pacific-stage-1-ubf
66,https://vlr.gg/314652/kr-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-w5
67,https://vlr.gg/314651/nrg-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-w5
68,https://vlr.gg/319792/bilibili-gaming-vs-funplus-phoenix-champions-tour-2024-china-stage-1-w5
69,https://vlr.gg/329910/drx-vs-paper-rex-champions-tour-2024-pacific-stage-1-ubsf
70,https://vlr.gg/319791/dragon-ranger-gaming-vs-tyloo-champions-tour-2024-china-stage-1-w5
71,https://vlr.gg/329909/gen-g-vs-t1-champions-tour-2024-pacific-stage-1-ubsf
72,https://vlr.gg/314650/sentinels-vs-furia-champions-tour-2024-americas-stage-1-w5
